status	read_id	taxid	V4	V5	domain	phylum	class	order	family	genus	species
C	M06338:88:000000000-JCJ4V:1:2111:12265:11634	49640	250|36	4:64 49640:5 4:2 49640:1 4:1 49640:1 4:5 49640:1 4:1 49640:5 48920:1 4:40 47666:1 4:31 49640:29 4:2 48920:1 4:5 47666:1 4:5 48920:1 49640:13 |:| 4:2	Nucletmycea	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	NA
C	M06338:88:000000000-JCJ4V:1:2111:9405:11681	49640	227|60	4:110 49599:3 4:5 49640:6 48920:4 49640:16 48920:1 4:5 47666:1 4:5 48920:1 4:2 49640:29 4:5 |:| 4:15 0:10 4:1	Nucletmycea	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	NA
C	M06338:88:000000000-JCJ4V:1:2111:16331:11814	49640	251|164	4:110 49599:3 4:5 49640:6 48920:4 49640:16 48920:1 4:5 47666:1 4:5 48920:1 4:2 49640:29 4:29 |:| 4:64 49640:5 4:2 49640:1 4:1 49640:1 4:5 49640:1 4:1 49640:5 48920:1 4:40 47666:1 4:2	Nucletmycea	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	NA
C	M06338:88:000000000-JCJ4V:1:2111:18106:11856	46388	232|162	3:7 43344:1 3:37 3303:3 46375:15 46187:1 46388:1 0:11 46375:1 0:12 46187:6 3:84 1:5 3:5 1:2 3:7 |:| 3:7 1:2 3:5 1:5 3:84 46187:6 0:12 46375:1 0:6	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
C	M06338:88:000000000-JCJ4V:1:2111:20322:11930	45185	220|194	3:33 44575:1 3:11 44575:2 0:15 3:21 0:1 3:3 1688:5 3:1 0:4 1673:2 0:1 45185:1 0:15 45185:15 1673:19 1672:3 3:1 1672:5 3:20 1:7 |:| 1:7 3:20 1672:5 3:1 1672:3 1673:19 45185:15 0:15 45185:1 0:1 1673:2 0:4 3:1 1688:5 3:3 0:1 3:21 0:15 44575:2 3:11 44575:1 3:7	Bacteria	Firmicutes	Bacilli	Caldalkalibacillales	Caldalkalibacillaceae	Caldalkalibacillus	NA
C	M06338:88:000000000-JCJ4V:1:2111:28430:11993	49640	250|149	4:48 47673:3 4:59 49599:3 4:5 49640:6 48920:4 49640:16 48920:1 4:5 47666:1 4:5 48920:1 4:2 49640:29 4:28 |:| 4:64 49640:5 4:2 49640:1 4:1 49640:1 4:5 49640:1 4:1 49640:5 48920:1 4:28	Nucletmycea	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	NA
C	M06338:88:000000000-JCJ4V:1:2111:12322:12371	45185	218|231	0:7 3:37 2375:5 3:2 0:5 2379:2 0:13 2784:5 2379:4 3:12 0:1 3:10 1672:1 3:4 1673:3 45185:1 1673:5 45185:1 0:3 45185:5 0:1 45185:1 0:9 45185:5 0:9 1680:2 1673:8 1672:3 3:1 1672:5 3:14 |:| 1:7 3:20 1672:5 3:1 1672:3 1673:8 1680:2 0:9 45185:5 0:9 45185:1 0:1 45185:5 0:3 45185:1 1673:5 45185:1 1673:3 3:4 1672:1 3:10 0:1 3:12 2379:4 2784:5 0:13 2379:2 0:5 3:2 2375:5 3:37 0:7	Bacteria	Firmicutes	Bacilli	Caldalkalibacillales	Caldalkalibacillaceae	Caldalkalibacillus	NA
C	M06338:88:000000000-JCJ4V:1:2111:22796:12411	49640	250|150	4:64 49640:5 4:2 49640:1 4:1 49640:1 4:5 49640:1 4:1 49640:5 48920:1 4:40 47666:1 4:31 49640:29 4:2 48920:1 4:5 47666:1 4:5 48920:1 49640:13 |:| 4:110 49599:3 4:3	Nucletmycea	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	NA
C	M06338:88:000000000-JCJ4V:1:2111:9557:12492	45185	222|137	3:5 1:2 3:51 45185:4 1673:5 45185:4 3:37 1673:3 45185:1 1673:5 45185:1 1673:2 45185:6 1673:1 45185:15 1673:19 1672:3 3:1 1672:5 3:18 |:| 1:7 3:20 1672:5 3:1 1672:3 1673:19 45185:15 1673:1 45185:6 1673:2 45185:1 1673:5 45185:1 1673:3 3:14	Bacteria	Firmicutes	Bacilli	Caldalkalibacillales	Caldalkalibacillaceae	Caldalkalibacillus	NA
C	M06338:88:000000000-JCJ4V:1:2111:5165:12558	49640	250|185	4:64 49640:5 4:2 49640:1 4:1 49640:1 4:5 49640:1 4:1 49640:5 48920:1 4:40 47666:1 4:31 49640:29 4:2 48920:1 4:5 47666:1 4:5 48920:1 49640:13 |:| 4:110 49599:3 4:5 46848:4 4:1 49640:1 48920:4 4:4 46958:5 49640:1 4:6 48920:1 4:5 47666:1	Nucletmycea	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	NA
